movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102,2,-2,1,130,548.6667,491.66666,130,517.6667,472,130,517.6667,472,130,517.6667,472,130,1,3,0,36.7120895,3.92718973
CDCssbGFPmcherry01_102,2,-2,1,133,542.3333,493.66666,133,513.6667,466.66666,133,513.6667,466.66666,133,513.6667,466.66666,133,1,3,0,39.37986739,4.212569017
CDCssbGFPmcherry01_102,3,-3,1,136,541,499.33334,136,528.6667,484.66666,136,528.6667,484.66666,136,528.6667,484.66666,136,2,0,0,19.16303189,2.049920423
CDCssbGFPmcherry01_102,3,-3,1,139,543,499,139,527.3333,484.33334,139,527.3333,484.33334,139,527.3333,484.33334,139,2,0,0,21.46057791,2.295695024
CDCssbGFPmcherry01_102,3,-3,1,142,546.3333,489,142,525.6667,481.66666,142,525.6667,481.66666,142,525.6667,481.66666,142,2,0,0,21.92911834,2.345816038
CDCssbGFPmcherry01_102,3,-3,1,145,544,471.33334,145,524.3333,480.33334,145,524.3333,480.33334,145,524.3333,480.33334,145,2,0,0,21.62820124,2.313626137
CDCssbGFPmcherry01_102,3,-3,1,148,541,461,148,527,479.33334,148,527,479.33334,148,527,479.33334,148,2,0,0,23.067539,2.46759592
CDCssbGFPmcherry01_102,3,-3,1,151,533.6667,455.66666,151,527.6667,478.66666,151,527.6667,478.66666,151,527.6667,478.66666,151,2,0,0,23.76972865,2.542711012
CDCssbGFPmcherry01_102,3,-3,1,154,518.6667,451.33334,154,523.6667,475.66666,154,523.6667,475.66666,154,523.6667,475.66666,154,2,0,0,24.84170812,2.657383503
CDCssbGFPmcherry01_102,3,-3,1,157,511.66666,451,157,523,475.33334,157,523,475.33334,157,523,475.33334,157,2,0,0,26.84317476,2.871485706
