movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole
CDCssbGFPmcherry01_030,3,-3,0,94,543.25,679.5,94,582.25,669.25,94,582.25,669.25,94,582.25,669.25,94,1,0,0,40.32446528
CDCssbGFPmcherry01_030,3,-3,0,97,542.25,678,97,583.5,671,97,583.5,671,97,583.5,671,97,1,0,0,41.83972395
CDCssbGFPmcherry01_030,3,-3,0,100,542.75,678.5,100,585,670.25,100,585,670.25,100,585,670.25,100,1,0,0,43.04793839
CDCssbGFPmcherry01_030,3,-3,0,103,540.5,679.5,103,584,674,103,584,674,103,584,674,103,1,0,0,43.84632254
CDCssbGFPmcherry01_030,3,-3,0,106,538.5,677,106,584,679,106,584,679,106,584,679,106,1,0,0,45.54393483
CDCssbGFPmcherry01_030,3,-3,0,109,538,678.5,109,585,679.75,109,585,679.75,109,585,679.75,109,1,0,0,47.0166194
CDCssbGFPmcherry01_030,4,-4,3,25,544,670.5,25,533.75,692.25,25,533.75,692.25,25,533.75,692.25,25,0,0,5,24.04423008
CDCssbGFPmcherry01_030,4,-4,3,28,541.5,676.5,28,528.75,700.25,28,528.75,700.25,28,528.75,700.25,28,0,0,5,26.95598264
CDCssbGFPmcherry01_030,4,-4,3,31,531.75,690.25,31,522.5,716.25,31,526,702,31,522.5,716.25,31,0,0,5,27.59642187
CDCssbGFPmcherry01_030,4,-4,3,34,560,705.75,34,540.75,681.25,34,540.75,681.25,34,540.75,681.25,34,0,0,5,31.15786418
CDCssbGFPmcherry01_030,4,-4,3,37,562,702.25,37,534.5,691.5,37,534.5,691.5,37,534.5,691.5,37,0,0,5,29.52647117
CDCssbGFPmcherry01_030,4,-4,3,40,556,669.5,40,534,694.25,40,548.25,680,40,534,694.25,40,0,0,5,33.11438509
CDCssbGFPmcherry01_030,4,-4,3,43,546.25,662.5,43,536.5,697.5,43,537.75,681,43,536.5,697.5,43,0,0,5,36.33266437
CDCssbGFPmcherry01_030,4,-4,3,46,548.5,662.75,46,536.25,698,46,540.75,679.25,46,536.25,698,46,0,0,5,37.31789115
CDCssbGFPmcherry01_030,4,-4,3,49,553.75,663.5,49,536,698.25,49,544,680.25,49,536,698.25,49,0,0,5,39.02082777
CDCssbGFPmcherry01_030,4,-4,3,52,552,661.75,52,535.25,698.5,52,543,682,52,535.25,698.5,52,0,0,5,40.38718856
CDCssbGFPmcherry01_030,4,-4,3,55,553,659.5,55,535.25,698.5,55,544.5,680,55,535.25,698.5,55,0,0,5,42.84929988
CDCssbGFPmcherry01_030,4,-4,3,58,560,663.25,58,535.75,697.75,58,546.5,683.25,58,535.75,697.75,58,0,0,5,42.17004268
CDCssbGFPmcherry01_030,4,-4,3,61,558.25,660.25,61,535.5,699.5,61,535.5,699.5,61,535.5,699.5,61,0,0,5,45.36656258
CDCssbGFPmcherry01_030,4,-4,3,64,562.75,664.5,64,533.75,700.5,64,533.75,700.5,64,533.75,700.5,64,0,0,5,46.22769733
CDCssbGFPmcherry01_030,5,-5,0,67,541,684.75,67,549.5,666.25,67,549.5,666.25,67,549.5,666.25,67,4,0,6,20.35927307
CDCssbGFPmcherry01_030,5,-5,0,70,541.75,680.5,70,546.25,659.75,70,546.25,659.75,70,546.25,659.75,70,4,0,6,21.23234561
CDCssbGFPmcherry01_030,5,-5,0,73,544,683.5,73,544,659,73,543.5,670,73,544,659,73,4,0,6,24.5
CDCssbGFPmcherry01_030,5,-5,0,76,549.5,680.25,76,539,657.5,76,542.5,670.75,76,539,657.5,76,4,0,6,25.05618686
CDCssbGFPmcherry01_030,5,-5,0,79,563.25,677.75,79,542.75,661.25,79,542.75,661.25,79,542.75,661.25,79,4,0,6,26.31539473
CDCssbGFPmcherry01_030,5,-5,0,82,565,677.5,82,542,660.25,82,542,660.25,82,542,660.25,82,4,0,6,28.75
CDCssbGFPmcherry01_030,5,-5,0,85,567.5,676.75,85,542,660.5,85,549.75,667.75,85,542,660.5,85,4,0,6,30.23760076
CDCssbGFPmcherry01_030,5,-5,0,88,568.75,676.25,88,545.25,662.75,88,555,667.5,88,545.25,662.75,88,4,0,6,27.10166047
CDCssbGFPmcherry01_030,5,-5,0,91,569.75,678.25,91,545.25,658.25,91,557.75,668,91,545.25,658.25,91,4,0,6,31.6267292
CDCssbGFPmcherry01_030,5,-5,0,94,569.75,680,94,545,657.75,94,557,666.5,94,545,657.75,94,4,0,6,33.28100059
CDCssbGFPmcherry01_030,5,-5,0,97,570.25,681.5,97,544.25,657.25,97,544.25,657.25,97,544.25,657.25,97,4,0,6,35.55365663
CDCssbGFPmcherry01_030,5,-5,0,100,570.75,682,100,544.75,656.25,100,555.5,666.25,100,544.75,656.25,100,4,0,6,36.59320292
CDCssbGFPmcherry01_030,5,-5,0,103,569.25,684,103,544,656.25,103,544,656.25,103,544,656.25,103,4,0,6,37.51832885
CDCssbGFPmcherry01_030,5,-5,0,106,567.25,687.25,106,545.25,654,106,565.75,686.25,106,545.25,654,106,4,0,6,39.86931778
CDCssbGFPmcherry01_030,5,-5,0,109,566.5,691.25,109,545.5,654.75,109,545.5,654.75,109,545.5,654.75,109,4,0,6,42.10997507
CDCssbGFPmcherry01_030,5,-5,0,112,571,692,112,547.75,656.25,112,547.75,656.25,112,547.75,656.25,112,4,0,6,42.64533972
CDCssbGFPmcherry01_030,6,-6,0,115,542,656.5,115,554,676.5,115,554,676.5,115,554,676.5,115,5,7,0,23.32380758
CDCssbGFPmcherry01_030,6,-6,0,118,546.75,655.5,118,548,681.75,118,547.75,669.5,118,548,681.75,118,5,7,0,26.27974505
CDCssbGFPmcherry01_030,6,-6,0,121,548.5,653.75,121,547.5,681.25,121,548,666.75,121,547.5,681.25,121,5,7,0,27.51817581
CDCssbGFPmcherry01_030,6,-6,0,124,551,651.25,124,546.25,680.25,124,546.75,663.75,124,546.25,680.25,124,5,7,0,29.38643394
CDCssbGFPmcherry01_030,6,-6,0,127,554.25,649.5,127,544.25,677.75,127,546,662.75,127,544.25,677.75,127,5,7,0,29.96769094
CDCssbGFPmcherry01_030,6,-6,0,130,555,645.5,130,545.5,674.5,130,549.25,662.75,130,545.5,674.5,130,5,7,0,30.51638904
CDCssbGFPmcherry01_030,6,-6,0,133,547.25,642,133,543.75,673.75,133,545.75,660,133,543.75,673.75,133,5,7,0,31.94233085
CDCssbGFPmcherry01_030,6,-6,0,136,546,642.25,136,544.75,674.25,136,544.75,674.25,136,544.75,674.25,136,5,7,0,32.02440476
CDCssbGFPmcherry01_030,6,-6,0,139,540.5,641.75,139,546.75,675.5,139,546.75,675.5,139,546.75,675.5,139,5,7,0,34.32382554
CDCssbGFPmcherry01_030,6,-6,0,142,536.5,641.75,142,544,675,142,544,675,142,544,675,142,5,7,0,34.08537076
CDCssbGFPmcherry01_030,6,-6,0,145,534.25,640.25,145,543.75,675.25,145,543.75,675.25,145,543.75,675.25,145,5,7,0,36.26637561
CDCssbGFPmcherry01_030,6,-6,0,148,530.75,640.25,148,546.25,676.75,148,546.25,676.75,148,546.25,676.75,148,5,7,0,39.65476012
CDCssbGFPmcherry01_030,6,-6,0,151,535.5,638.75,151,548,677,151,548,677,151,548,677,151,5,7,0,40.24068215
CDCssbGFPmcherry01_030,6,-6,0,154,540.5,635.25,154,544.5,676.5,154,544.5,676.5,154,544.5,676.5,154,5,7,0,41.44348562
CDCssbGFPmcherry01_030,6,-6,0,157,539,631,157,545.25,672.75,157,545.25,672.75,157,545.25,672.75,157,5,7,0,42.21522237
CDCssbGFPmcherry01_030,7,-7,1,160,557.25,629,160,545,647.5,160,545,647.5,160,545,647.5,160,6,0,0,22.18811619
CDCssbGFPmcherry01_030,7,-7,1,163,567.5,631.25,163,548.5,646,163,548.5,646,163,548.5,646,163,6,0,0,24.05332617
CDCssbGFPmcherry01_030,7,-7,1,166,576,630,166,552,639.75,166,566.25,635.25,166,552,639.75,166,6,0,0,25.90487406
CDCssbGFPmcherry01_030,7,-7,1,169,581.25,628.5,169,554.5,636.25,169,570.5,632.25,169,554.5,636.25,169,6,0,0,27.85004488
CDCssbGFPmcherry01_030,7,-7,1,172,580,626.5,172,552,636.25,172,569,632.5,172,552,636.25,172,6,0,0,29.64898818
CDCssbGFPmcherry01_030,7,-7,1,175,578,623.25,175,550,635,175,570.25,630,175,550,635,175,6,0,0,30.36548205
CDCssbGFPmcherry01_030,7,-7,1,178,576.5,620,178,550,634.5,178,564,627.75,178,550,634.5,178,6,0,0,30.20761493
CDCssbGFPmcherry01_030,7,-7,1,181,574.5,617.75,181,547.5,633.5,181,560.5,626.75,181,547.5,633.5,181,6,0,0,31.25799898
CDCssbGFPmcherry01_030,7,-7,1,184,577,617.5,184,547.75,631.5,184,561.75,628,184,547.75,631.5,184,6,0,0,32.42780443
